,0,1,2,3,4,5,6,7,8
0,10.0,55.0,19.0,22.0,72.0,38.0,51.0,20.0,555.0
1,3.0,24.0,18.0,310.0,135.0,6.0,69.0,3.0,348.0
2,3.0,15.0,4.0,201.0,72.0,2.0,51.0,2.0,107.0
3,12.0,71.0,126.0,104.0,72.0,43.0,51.0,50.0,185.0
4,5.0,14.0,25.0,295.0,51.0,10.0,85.0,6.0,325.0
5,23.0,25.0,23.0,63.0,72.0,13.0,4.0,18.0,199.0
6,123.0,40.0,10.0,44.0,0.0,18.0,4.0,16.0,264.0
7,22.0,8.0,9.0,13.0,72.0,7.0,51.0,5.0,47.0
8,3.0,35.0,2.0,1173.0,186.0,1.0,88.0,3.0,412.0
9,4.0,15.0,3.0,179.0,50.0,2.0,13.0,7.0,101.0
10,2.0,31.0,1.0,43.0,74.0,1.0,24.0,1.0,67.0
11,1.0,36.0,19.0,393.0,81.0,4.0,70.0,0.0,88.0
12,3.0,33.0,11.0,22.0,72.0,4.0,51.0,3.0,132.0
13,2.0,24.0,14.0,1010.0,169.0,10.0,114.0,3.0,378.0
14,2.0,17.0,16.0,198.0,72.0,13.0,51.0,2.0,64.0
15,1.0,20.0,19.0,7.0,44.0,3.0,90.0,4.0,162.0
16,1.0,37.0,19.0,51.0,72.0,10.0,30.0,0.0,25.0
17,4.0,36.0,12.0,136.0,72.0,8.0,51.0,5.0,269.0
18,5.0,24.0,79.0,22.0,41.0,12.0,138.0,5.0,529.0
19,2.0,18.0,13.0,43.0,72.0,4.0,51.0,1.0,86.0
20,1.0,19.0,0.0,38.0,18.0,3.0,41.0,1.0,110.0
21,1.0,17.0,0.0,54.0,16.0,3.0,13.0,1.0,66.0
22,1.0,8.0,1.0,7.0,72.0,10.0,51.0,0.0,124.0
23,15.0,96.0,85.0,24.0,72.0,50.0,0.0,28.0,220.0
24,2.0,10.0,5.0,60.0,42.0,3.0,27.0,0.0,117.0
25,8.0,28.0,19.0,62.0,2.0,10.0,4.0,7.0,185.0
26,8.0,15.0,4.0,459.0,73.0,5.0,61.0,7.0,100.0
27,0.0,8.0,5.0,358.0,201.0,10.0,52.0,1.0,154.0
28,8.0,30.0,10.0,198.0,72.0,7.0,51.0,4.0,185.0
29,3.0,24.0,19.0,401.0,48.0,6.0,104.0,7.0,171.0
30,3.0,43.0,40.0,198.0,72.0,19.0,51.0,7.0,80.0
31,2.0,21.0,9.0,54.0,72.0,6.0,52.0,5.0,202.0
32,0.0,11.0,6.0,198.0,72.0,3.0,51.0,7.0,114.0
33,9.0,21.0,5.0,358.0,96.0,13.0,58.0,7.0,197.0
34,1.0,43.0,19.0,118.0,34.0,4.0,37.0,2.0,110.0
